Ref,Val,Package,PosX,PosY,Rot,Side
"U18","SN74LVC1G74DCUR","VSSOP-8_2.3x2mm_P0.5mm",48.000000,-209.000000,0.000000,top
"U19","SN74LVC2G00DCUR","VSSOP-8_2.3x2mm_P0.5mm",59.000000,-209.000000,0.000000,top
"U20","SN74LVC1G14DBVR","SOT-23-5",30.000000,-221.000000,0.000000,top
"U21","LTC6993IS6-1#TRPBF","TSOT-23-6",93.000000,-231.000000,0.000000,top
"U22","SN74LVC1G32DBVR","SOT-23-5",108.000000,-219.000000,0.000000,top
"U23","SN74LVC1G74DCUR","VSSOP-8_2.3x2mm_P0.5mm",135.000000,-216.000000,0.000000,top
"U24","SN74LVC2G00DCUR","VSSOP-8_2.3x2mm_P0.5mm",123.000000,-203.000000,0.000000,top
"U25","SN74LVC1G11DBVR","SOT-23-6",145.000000,-229.000000,0.000000,top
"U26","TPS3839G33DBZR","SOT-23",99.000000,-151.000000,0.000000,top
"U27","SN74LVC1G74DCUR","VSSOP-8_2.3x2mm_P0.5mm",196.000000,-210.000000,0.000000,top
"U28","SN74LVC1G11DBVR","SOT-23-6",163.000000,-220.000000,0.000000,top
"U29","SN74LVC1G11DBVR","SOT-23-6",175.000000,-233.000000,0.000000,top
"U30","100V LDO, nominal 10V","Texas_DGN0008B_VSSOP-8-1EP_3x3mm_P0.65mm_EP2x3mm_Mask1.88x1.98mm_ThermalVias",218.500000,-171.000000,0.000000,top
"U31","2.5V high-grade reference","SOIC-8_3.9x4.9mm_P1.27mm",199.500000,-177.000000,180.000000,top
"U32","Independent analog chopper/OV/NTC window","TSSOP-14_4.4x5mm_P0.65mm",175.500000,-177.000000,0.000000,top
"U33","4A source/8A sink driver","SOT-23-6",241.000000,-162.000000,90.000000,top
"U34","Isolated analog fault","SSOP-4_4.4x2.6mm_P1.27mm",154.500000,-203.000000,0.000000,top
"U35","Isolated chopper active","SSOP-4_4.4x2.6mm_P1.27mm",154.500000,-191.000000,0.000000,top
"U36","Reference qualification 12..28ms","SOT-23-6",208.500000,-195.000000,0.000000,top
"U50","SN74LVC1G11DBVR","SOT-23-6",178.000000,-210.000000,0.000000,top
"U51","TPS3431SDRBR","TI_DRB0008A_3x3mm_EP1.5x1.75",213.000000,-239.000000,0.000000,top
"U53","SN74LVC1G14DBVR","SOT-23-5",134.000000,-195.000000,0.000000,top
"U54","SN74LVC1G11DBVR","SOT-23-6",186.000000,-233.000000,0.000000,top
"U55","SN74LVC1G74DCUR","VSSOP-8_2.3x2mm_P0.5mm",115.000000,-233.000000,0.000000,top
"U56","SN74LVC1G14DBVR","SOT-23-5",129.000000,-233.000000,0.000000,top
"U57","SN74LVC1G11DBVR","SOT-23-6",138.000000,-233.000000,0.000000,top
"U58","SN74LVC1G32DBVR","SOT-23-5",135.000000,-205.000000,0.000000,top
"U59","SN74LVC1G14DBVR","SOT-23-5",39.000000,-221.000000,0.000000,top
"U60","TMUX1511PWR","TSSOP-14_4.4x5mm_P0.65mm",137.000000,-172.000000,0.000000,top
"U61","SN74LVC1G17DBVR","SOT-23-5",195.000000,-225.000000,0.000000,top
"U62","SN74LVC1G17DBVR","SOT-23-5",94.000000,-203.000000,0.000000,top
"U63","SN74LVC1G11DBVR","SOT-23-6",110.000000,-203.000000,0.000000,top
"U64","SN74LVC1G17DBVR","SOT-23-5",84.000000,-219.000000,0.000000,top
"U65","TMUX1511PWR","TSSOP-14_4.4x5mm_P0.65mm",210.000000,-221.000000,0.000000,top
